,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
251,a legal minimum price at which a good can be sold is a price,floor,a legal minimum price at which a good can be sold is a price,floor,What is the legal minimum price at which a good can be sold?,Is a legal minimum on the price at which a good can be sold?,What is a legal price floor?,,1,0,0
252,the most common explanation for Social Security payments accounting for a larger share of federal government expenditures is,increases in life expectancy,the most common explanation for Social Security payments accounting for a larger share of federal government expenditures is,increases in life expectancy,What is the most common explanation for Social Security payments accounting for a larger share of federal government expenditures?,,,RULE BASED,1,0,0
253,"for a consumer, any point on the same indifference curve yields",the same level of satisfaction,"for a consumer, any point on the same indifference curve yields",the same level of satisfaction,"For a consumer, any point on the same indifference curve yields?",What is equal at all points along an indifference curve for an individual consumer?,What is consumer indifference curve?,,1,1,1
254,if the stock market booms household spending,"increases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply",if the stock market booms household spending,"increases. To offset the effects of this on the price level and real GDP, the Fed would decrease the money supply",What happens to household spending if the stock market booms or decreases?,How does stock market boom affect household spending?,What effect would these increases in household wealth have on consumption spending?,,1,1,1
255,eidetic imagery is found more often in,children than in adults,eidetic imagery is found more often in,children than in adults,Where is eidetic imagery found more often?,,,RULE BASED,1,0,0
256,Which statement about the Fertile Crescent is accurate?,"rich soil and abundant water, especially in the Tigris-Euphrates Valley made it a center of early civilization",Which statement about the Fertile Crescent is accurate?,"rich soil and abundant water, especially in the Tigris-Euphrates Valley made it a center of early civilization",Which statement about the Fertile Crescent is accurate?,,,,1,,
257,"in China, the Great Leap Forward and the Cultural Revolution promoted by Mao Zedong were similar in that both plans",disrupted industrial development,"in China, the Great Leap Forward and the Cultural Revolution promoted by Mao Zedong were similar in that both plans",disrupted industrial development,What were the results of Mao Zedong's Great Leap Forward and Cultural Revolution quizlet?,What was the goal of Mao Zedong policy known as the Great Leap Forward?,What was the goal of Mao Zedong's policy known as the Great Leap Forward?,,1,1,1
258,"according to public opinion polls, presidents seem to be most popular",when they first enter office,"according to public opinion polls, presidents seem to be most popular",when they first enter office,When are presidents most popular?,Why does the popularity of presidents tend to decline over time quizlet?,What president had the best approval rating?,,1,0,0
259,one of the limitations of the case study is that,there are no control groups,one of the limitations of the case study is that,there are no control groups,Can a study have no control group?,What is a study that has no control group?,What is one limitation of the case study?,,0,0,1
260,the Fourteenth Amendment was one of three passed,directly following the Civil War,the Fourteenth Amendment was one of three passed,directly following the Civil War,When was the Fourteenth Amendment passed?,Was the 14th Amendment after the Civil War?,What three things did the 14th amendment do?,,1,1,0
261,"When people vote according to the nature of the times,",they are more interested in results than ideology and judge presidents by results,"When people vote according to the nature of the times,",they are more interested in results than ideology and judge presidents by results,"When people vote according to the nature of the times,",,,,0,,
262,"in his classic studies of conformity, Asch demonstrated that",lack of unanimity greatly reduces the pressure to conform,"in his classic studies of conformity, Asch demonstrated that",lack of unanimity greatly reduces the pressure to conform,What did Solomon Asch's studies reveal about conformity?,Which of the following was a finding in Asch's classic study on conformity?,"According to Asch, lack of unanimity reduces the pressure to conform?",,1,1,0
